Time,Acc1_X,Acc1_Y,Acc1_Z,Acc2_X,Acc2_Y,Acc2_Z,Gyro1_X,Gyro1_Y,Gyro1_Z,Gyro2_X,Gyro2_Y,Gyro2_Z,label
1070424,9.84,-0.24,2.61,0.77,3.95,7.81,0.01,-0.1,-0.0,-0.0,0.03,0.01,1
1576710,8.03,-0.7,6.08,-6.46,-3.21,5.02,-0.03,0.01,0.03,-0.07,0.01,-0.0,1
244220,7.3,4.16,5.18,-5.39,3.48,5.81,-0.04,-0.06,0.01,-0.04,-0.01,-0.02,0
535728,5.37,1.09,8.23,-6.49,-0.1,5.95,-0.02,-0.01,0.02,-0.06,-0.03,0.0,0
186568,5.59,-2.2,7.89,-7.76,-5.38,0.43,-0.06,-0.04,0.01,-0.18,0.02,0.01,0
44062,10.32,-0.35,2.05,-1.67,0.04,9.09,-0.13,-0.22,-0.22,0.04,0.01,0.07,0
812620,9.05,-0.22,4.55,-3.63,0.69,7.84,-0.04,-0.03,0.06,-0.1,0.02,0.05,1
225544,7.44,4.09,5.6,-5.71,3.54,5.76,-0.04,-0.03,0.02,-0.09,-0.04,-0.13,0
1819900,9.6,-1.82,3.0,-4.09,-0.7,7.63,-0.07,-0.07,0.01,-0.03,0.01,-0.02,1
83850,10.05,-0.52,1.56,-0.79,0.24,8.69,-0.04,-0.04,0.01,-0.03,-0.01,-0.03,0
843470,10.23,-0.33,-0.15,4.14,6.09,5.58,-0.05,-0.04,0.01,-0.04,0.02,-0.01,0
2054572,8.15,-0.83,5.83,-5.73,-1.28,6.53,-0.03,-0.04,0.01,-0.06,0.02,-0.01,1
360334,8.88,-0.87,4.79,-4.14,-0.58,7.6,-0.05,-0.04,0.01,-0.04,0.0,-0.02,1
1051342,9.88,-0.24,2.29,1.05,3.44,7.9,-0.01,-0.05,0.0,-0.05,-0.01,0.0,1
1057438,8.53,-0.4,5.41,-4.31,-2.0,7.34,-0.04,-0.03,0.01,-0.03,-0.0,-0.03,1
